obj,res,zero,up,down
$f_{1}-f_{2}$,0.06437733537547723,0,0.5,-0.5
$f_{1}-f_{3}$,-0.07324238543008274,0,0.5,-0.5
$f_{1}-f_{4}$,-0.02689260754861375,0,0.5,-0.5
$f_{1}-f_{5}$,-0.07268451625556752,0,0.5,-0.5
$f_{1}-f_{6}$,-0.07294005137997174,0,0.5,-0.5
$f_{2}-f_{3}$,-0.23608790052034329,0,0.5,-0.5
$f_{2}-f_{4}$,-0.1375354649818228,0,0.5,-0.5
$f_{2}-f_{5}$,-0.06665063584240503,0,0.5,-0.5
$f_{2}-f_{6}$,-0.1364269151444293,0,0.5,-0.5
$f_{3}-f_{4}$,0.4770428869396856,0,0.5,-0.5
$f_{3}-f_{5}$,-0.21973459554329886,0,0.5,-0.5
$f_{3}-f_{6}$,-0.07990988666549098,0,0.5,-0.5
$f_{4}-f_{5}$,-0.38469701612426604,0,0.5,-0.5
$f_{4}-f_{6}$,-0.12934834578305926,0,0.5,-0.5
$f_{5}-f_{6}$,0.07817482738667919,0,0.5,-0.5
