obj,res,zero,up,down
$f_{1}-f_{2}$,0.07853319880657317,0,0.5,-0.5
$f_{1}-f_{3}$,-0.02833934182407326,0,0.5,-0.5
$f_{1}-f_{4}$,0.02318575438052146,0,0.5,-0.5
$f_{1}-f_{5}$,-0.02626969314719258,0,0.5,-0.5
$f_{1}-f_{6}$,-0.06269202259754657,0,0.5,-0.5
$f_{2}-f_{3}$,-0.21805878924377162,0,0.5,-0.5
$f_{2}-f_{4}$,-0.07447387474628565,0,0.5,-0.5
$f_{2}-f_{5}$,-0.10168004132357025,0,0.5,-0.5
$f_{2}-f_{6}$,0.05640399130208613,0,0.5,-0.5
$f_{3}-f_{4}$,0.43139838717202716,0,0.5,-0.5
$f_{3}-f_{5}$,-0.6175164860775787,0,0.5,-0.5
$f_{3}-f_{6}$,-0.2134086058059171,0,0.5,-0.5
$f_{4}-f_{5}$,-0.5298820871704861,0,0.5,-0.5
$f_{4}-f_{6}$,-0.08918495662593968,0,0.5,-0.5
$f_{5}-f_{6}$,0.1408230157158678,0,0.5,-0.5
