obj,res,zero,up,down
$f_{1}-f_{2}$,-0.15145491611284717,0,0.5,-0.5
$f_{1}-f_{3}$,-0.3837885117922952,0,0.5,-0.5
$f_{1}-f_{4}$,-0.2521702278399347,0,0.5,-0.5
$f_{1}-f_{5}$,0.005854677062379035,0,0.5,-0.5
$f_{1}-f_{6}$,0.028157732738579664,0,0.5,-0.5
$f_{2}-f_{3}$,0.047987535375676786,0,0.5,-0.5
$f_{2}-f_{4}$,-0.15303863470807147,0,0.5,-0.5
$f_{2}-f_{5}$,-0.05326061113944032,0,0.5,-0.5
$f_{2}-f_{6}$,-0.12923361371000405,0,0.5,-0.5
$f_{3}-f_{4}$,0.35994443840799273,0,0.5,-0.5
$f_{3}-f_{5}$,-0.1982499838844668,0,0.5,-0.5
$f_{3}-f_{6}$,0.007068277565618071,0,0.5,-0.5
$f_{4}-f_{5}$,-0.3001294629014459,0,0.5,-0.5
$f_{4}-f_{6}$,0.049242787997474176,0,0.5,-0.5
$f_{5}-f_{6}$,-0.0044058553158336,0,0.5,-0.5
